listing_id,location,listing_name,church_slug,times,notes
359,Penn Yan,St. Michael's,st-michaels-penn-yan,Mon 8:00 AM|Fri 8:00 AM|Wed 12:00 PM|Sat 5:30 PM|Sun 10:30 AM,
359,Prattsburg,St. Patrick's,st-patricks,Sat 3:30 PM,
360,Shortsville,St. Dominic,st-dominic,Sat 4:00 PM|Sun 12:00 PM,
360,Clifton Springs,St. Felix,st-felix,Sun 8:00 AM,
360,Phelps,St. Francis,st-francis,Sun 10:00 AM,
361,Hammondsport,St. Gabriel Church,st-gabriels,Sun 8:00 AM|Sat 4:00 PM,Sat 4pm Memorial Day-Labor Day only
361,Bath,St. Mary Church,st-marys-bath,Sun 10:00 AM|Sat 4:00 PM|Sun 9:00 AM,Sun 10am now; Sat 4pm + Sun 9am after Labor Day
362,Henrietta,Guardian Angels,guardian-angels,Sat 4:30 PM|Sun 8:00 AM|Sun 10:30 AM|Mon 12:10 PM|Wed 12:10 PM|Tue 8:00 AM|Thu 8:00 AM,
362,Rush,St. Joseph,,Sun 8:00 AM|Tue 8:00 AM|Thu 8:00 AM,
363,Auburn,St. Francis of Assisi,st-francis-of-assisi,Sun 10:00 AM,May-Oct season; Nov-Apr is Sat 4pm + Sun 8am
363,Auburn,St. Hyacinth,st-hyacinth,Sat 4:00 PM|Sun 8:00 AM,May-Oct season; Nov-Apr is Sun 10am
364,Clyde,St. John the Evangelist,st-john-evangelist-clyde,Sun 10:30 AM,
364,Lyons,St. Michael,st-michael-lyons,Sat 4:00 PM,
364,Savannah,St. Patrick,st-patrick-savannah,,Sacraments only
365,Marion,Mission of Our Lady of Guadalupe (St. Gregory),,Sun 2:00 PM,Spanish
365,East Bloomfield,St. Bridget,st-bridgets,Sun 9:30 AM,
365,Canandaigua,St. Mary,st-marys-canandaigua,Sat 5:00 PM|Sun 7:30 AM|Sun 9:00 AM|Sun 11:30 AM,
366,Waterloo,St. Mary's,st-marys-waterloo,Sat 5:00 PM|Sun 9:30 AM,
366,Seneca Falls,St. Patricks,st-patricks-seneca-falls,Sun 8:00 AM|Sun 11:00 AM,
367,Gates,St. Jude,holy-family,Sat 8:00 AM|Sat 4:00 PM|Sun 9:00 AM|Sun 11:30 AM|Sun 5:00 PM,Sat 4pm / Sun 9am / Sun 5pm Vietnamese
368,Ovid,Holy Cross,holy-cross-ovid,Sun 10:30 AM,
368,Interlaken,St. James the Apostle,st-james-apostle,Sun 9:00 AM,Duplicate listing - also listed under Trumansburg
368,Interlaken,St. Francis Solanus,st-francis-solanus,Sat 4:00 PM,
368,Trumansburg,St. James the Apostle,st-james-apostle,Sun 9:00 AM,
369,Caledonia,St. Columba/St. Patrick,st-columba,Sat 4:00 PM|Wed 6:00 PM|Fri 12:00 PM,
369,Scottsville,St. Mary of the Assumption,st-mary-of-assumption,Sun 9:00 AM|Tue 9:00 AM,
369,Churchville,St. Vincent de Paul,st-vincent-de-paul,Sun 11:00 AM|Mon 8:30 AM,
370,Elmira,St. Charles Borromeo,,,Listed as no Mass
370,Elmira,Our Lady of Lourdes,,Sun 9:00 AM,
370,Elmira,Ss. Peter and Paul,,Sat 5:30 PM,
370,Elmira,St. Casimir,,Sun 7:30 AM,
370,Elmira,St. Mary,st-marys-elmira,Sat 4:00 PM|Sun 11:30 AM,
370,Elmira,St. Patrick,st-patricks-elmira,Sun 10:30 AM|Sun 5:00 PM,
ind,Piffard,Abbey of the Genesee,,Sun 9:45 AM,Individual listing
ind,Pittsford,Carmelite Monastery,,Sat 8:00 AM|Sun 8:00 AM|Mon 7:30 AM|Tue 7:30 AM|Wed 7:30 AM|Thu 7:30 AM|Fri 7:30 AM,Individual listing
ind,Pine City,Mount Saviour Monastery,,Sun 9:00 AM,Individual listing
ind,Brockport,Newman Center,,Sun 11:30 AM,Individual listing
ind,Ithaca,Cornell Newman Parish,,,Individual listing - see website
ind,Rochester,U of R Newman Parish,,Sun 10:30 AM|Sun 7:00 PM|Wed 9:00 PM,Individual listing
ind,Rochester,RIT Newman Parish,,,Individual listing - no times given
ind,Geneseo,Geneseo Newman Parish,,,Individual listing - no times given
ind,Auburn,Ss. Peter and Paul,,Sat 4:00 PM|Sun 8:00 AM|Sun 9:30 AM,Individual listing
ind,Irondequoit,St. Alban's Catholic Church,,Sun 11:00 AM,Individual listing - meets at St. Cecilia
ind,Irondequoit,St. Ann Community,,Sat 3:45 PM|Sun 10:00 AM,Individual listing
ind,Scipio Center,St. Bernard,,,Individual listing - see Good Shepherd
ind,Irondequoit,St. Josaphats (Ukrainian),,Sat 5:00 PM|Sun 8:30 AM|Sun 10:00 AM|Sun 11:30 AM,Individual listing
ind,Elmira Heights,St. Nicholas,,Sat 5:00 PM|Sun 8:30 AM|Sun 10:00 AM,Individual listing
ind,Gates,St. Nicholas the Wonderworker,,Sun 10:00 AM,Individual listing
ind,Leicester,St. Thomas Aquinas,,Sat 4:00 PM,Individual listing - celebrated at St. Lucy Retsof
ind,Rochester,Ukrainian Catholic Church of Epiphany,,Sun 10:00 AM|Sun 11:30 AM,Individual listing
