parish_id,slug,name,line1,line2,city,state,postal_code,name_verified,address_verified,latitude,longitude
st-francis-and-st-clare,st-marys-waterloo,St. Mary's Church,35 Center Street,,Waterloo,NY,13165,,,42.909473,-76.8653883
st-francis-and-st-clare,st-patricks-seneca-falls,St. Patrick's Church,97 West Bayard Street,,Seneca Falls,NY,13148,,,42.907756,-76.806193
st-john-of-rochester,st-john-of-rochester,St. John of Rochester,8 Wickford Way,,Fairport,NY,14450,,,43.0758604,-77.4758017
st-john-greece,st-john-evangelist-greece,St. John the Evangelist,2400 West Ridge Road,,Rochester,NY,14626,true,true,43.2098184,-77.6918912
st-john-spencerport,st-john-evangelist-spencerport,St. John the Evangelist,55 Martha Street,,Spencerport,NY,14559,,,43.1938664,-77.8039002
st-john-vianney,st-marys-bath,St. Mary's Church,32 East Morris Street,,Bath,NY,14810,,,42.3321338,-77.3157969
st-john-vianney,st-gabriels,St. Gabriel's Church,78 Shethar Street,,Hammondsport,NY,14840,,,,
catholic-parishes-eastern-wayne-county,st-john-evangelist-clyde,St. John the Evangelist,114 Sodus Street,,Clyde,NY,14433,true,false,43.0866606,-76.8703443
catholic-parishes-eastern-wayne-county,st-michael-lyons,St. Michael,3 Holley Street,,Lyons,NY,14489,true,false,43.0674625,-76.9882325
catholic-parishes-eastern-wayne-county,st-patrick-savannah,St. Patrick,52 Clyde Street,,Savannah,NY,13146,false,false,,
st-kateri-tekakwitha,christ-king,Christ the King,445 Kings Highway South,,Rochester,NY,14617,,,43.2081515,-77.5806942
st-kateri-tekakwitha,st-margaret-mary-rochester,St. Margaret Mary,401 Rogers Parkway,,Rochester,NY,14617,,,43.2060719,-77.6059001
st-kateri-tekakwitha,st-cecilia,St. Cecilia,2732 Culver Road,,Rochester,NY,14622,,,43.1980411,-77.561019
st-kateri-tekakwitha,st-thomas-apostle,St. Thomas the Apostle,4536 Saint Paul Boulevard,,Rochester,NY,14617,,,43.239244,-77.5984958
st-katharine-drexel-st-maximilian-kolbe,st-patricks-macedon,St. Patrick's Church,52 Main Street,,Macedon,NY,14502,,,43.0681442,-77.3029822
st-katharine-drexel-st-maximilian-kolbe,st-annes,St. Anne's Church,136 Church Street,,Palmyra,NY,14522,,,43.0645845,-77.2332892
st-katharine-drexel-st-maximilian-kolbe,st-marys-of-lake-ontario,St. Mary's of the Lake Church,5823 Walworth Road,,Ontario,NY,14519,,,43.211121,-77.2818265
st-katharine-drexel-st-maximilian-kolbe,epiphany,Church of the Epiphany,105 West Main Street,,Sodus,NY,14551,,,43.2359575,-77.0705842
st-katharine-drexel-st-maximilian-kolbe,st-mary-star-of-sea,St. Mary Star of the Sea,7502 South Fitzhugh Street,,Sodus Point,NY,14555,,,43.27011,-76.988706
st-lawrence,st-lawrence,St. Lawrence Church,1000 North Greece Road,,Rochester,NY,14626,true,true,43.2264615,-77.732552
st-leo-the-great,st-leo-the-great,St. Leo the Great Catholic Parish,110 Old Hojack Lane,,Hilton,NY,14468,true,true,43.2918531,-77.7957304
st-louis-pittsford,st-louis,St. Louis Church,64 South Main Street,,Pittsford,NY,14534,,,43.0877672,-77.5162028
st-luke-the-evangelist,st-mary-geneseo,St. Mary,13 North Street,,Geneseo,NY,14454,,,42.8001888,-77.8148369
st-luke-the-evangelist,st-patrick-mount-morris,St. Patrick,46 Stanley Street,,Mount Morris,NY,14510,,,42.7237235,-77.8764829
st-luke-the-evangelist,holy-angels,Holy Angels,45 North Church Street,,Nunda,NY,14517,,,42.584579,-77.9396076
st-luke-the-evangelist,st-lucy,St. Lucy,2770 Retsof Avenue,,Piffard,NY,14533,,,42.8324115,-77.8811016
st-luke-the-evangelist,st-juan-diego-community,St. Juan Diego Community,175 Main Street,,Leicester,NY,14481,,,42.772758,-77.8952936
st-marianne-cope,guardian-angels,Guardian Angels Church,2061 East Henrietta Road,,Rochester,NY,14623,true,true,43.0781567,-77.6081735
st-marks-greece,st-marks,St. Mark's Roman Catholic Church,54 Kuhn Road,,Rochester,NY,14612,true,true,43.2798074,-77.7014974
st-martin-de-porres,st-columba,St. Columba,198 North Street,,Caledonia,NY,14423,,,42.9766165,-77.855098
st-martin-de-porres,st-mary-of-assumption,St. Mary of the Assumption,99 Main Street,,Scottsville,NY,14546,,,43.0193618,-77.7581847
st-martin-de-porres,st-vincent-de-paul,St. Vincent de Paul,11 North Main Street,,Churchville,NY,14428,,,43.1052604,-77.8851595
st-mary-our-mother,st-mary-our-mother,St. Mary Our Mother,816 West Broad Street,,Horseheads,NY,14845,,,42.1671576,-76.8386153
st-marys-st-matthew,st-marys-honeoye,St. Mary's,8961 West Main Street,,Honeoye,NY,14471,,,42.9501993,-77.5974913
st-marys-st-matthew,st-matthew,St. Matthew,6591 Richmond Mills Road,,Livonia,NY,14487,,,42.8225845,-77.6566162
catholic-parishes-eastern-wayne-county,st-michael-newark,St. Michael Church,401 South Main Street,,Newark,NY,14513,true,true,43.042727,-77.095884
st-patricks-victor,st-patricks-victor,St. Patrick's Church,115 Maple Avenue,,Victor,NY,14564,,,42.9790707,-77.4085784
st-pauls-webster,st-pauls,St. Paul's Roman Catholic Church,783 Hard Road,,Webster,NY,14580,,,43.2227431,-77.4632416
st-peters-ontario-county,st-dominic,St. Dominic,97 West Main Street,,Shortsville,NY,14548,,,42.9545048,-77.2293157
st-peters-ontario-county,st-felix,St. Felix,12 Hibbard Avenue,,Clifton Springs,NY,14432,,,42.9634245,-77.13949
st-peters-ontario-county,st-francis,St. Francis,12 Church Street,,Phelps,NY,14532,,,42.9567345,-77.0583605
st-pius-x-chili,st-pius-x,St. Pius X Church,3010 Chili Avenue,,Rochester,NY,14624,,,43.1141813,-77.7347367
st-stanislaus-kostka,st-stanislaus-kostka,St. Stanislaus Kostka Church,34 St. Stanislaus Street,,Rochester,NY,14621,,,43.1862465,-77.5985159
st-theodores-gates,st-theodores,St. Theodore's Catholic Church,168 Spencerport Road,,Rochester,NY,14606,,,43.1684008,-77.6952206
our-lady-of-the-snow-saints-mary-and-martha,st-marys-auburn,St. Mary's Church,15 Clark Street,,Auburn,NY,13021,,,42.9316058,-76.5696618
sacred-heart-auburn-cluster,holy-family-auburn,Holy Family Church,85 North St.,,Auburn,NY,13021,,,42.9359435,-76.5669228
most-holy-name-of-jesus,eucharistic-adoration-chapel-elmira,Eucharistic Adoration Chapel,1012 Davis St.,,Elmira,NY,14901,,,42.101813,-76.8210736
st-joseph-university-buffalo,st-joseph-university-buffalo,St. Joseph University Church,3269 Main Street,,Buffalo,NY,14214,true,true,,
st-john-baptist-kenmore,st-john-baptist-kenmore,St. John the Baptist Church,1085 Englewood Avenue,,Kenmore,NY,14223,true,true,,
st-gregory-the-great-williamsville,st-gregory-the-great-williamsville,St. Gregory the Great Church,200 St. Gregory Court,,Williamsville,NY,14221,true,true,,
ss-peter-and-paul-williamsville,ss-peter-and-paul-williamsville,Saints Peter & Paul Church,5480 Main Street,,Williamsville,NY,14221,true,true,,
tonawanda-catholic,st-amelia-tonawanda,St. Amelia Church,2999 Eggert Road,,Tonawanda,NY,14150,true,true,,
tonawanda-catholic,st-christopher-tonawanda,St. Christopher Church,2660 Niagara Falls Boulevard,,Tonawanda,NY,14150,true,true,,
tonawanda-catholic,st-francis-of-assisi-tonawanda,St. Francis of Assisi Chapel,71 Adam Street,,Tonawanda,NY,14150,true,false,,
nativity-of-our-lord-orchard-park,nativity-of-our-lord-orchard-park,Nativity of Our Lord Church,43 Argyle Place,,Orchard Park,NY,14127,true,true,,
st-mary-assumption-lancaster,st-mary-assumption-lancaster,St. Mary of the Assumption Church,1 St. Mary's Hill,,Lancaster,NY,14086,true,true,,
queen-of-heaven-west-seneca,queen-of-heaven-west-seneca,Queen of Heaven Church,4220 Seneca Street,,West Seneca,NY,14224,true,true,,
our-lady-of-victory-basilica,our-lady-of-victory-lackawanna,Our Lady of Victory Basilica,767 Ridge Road,,Lackawanna,NY,14218,true,true,,
st-benedict-amherst,st-benedict-amherst,St. Benedict Church,1317 Eggert Road,,Amherst,NY,14226,true,true,,
ss-peter-and-paul-hamburg,ss-peter-and-paul-hamburg,Saints Peter & Paul Church,66 East Main Street,,Hamburg,NY,14075,true,true,,
immaculate-conception-east-aurora,immaculate-conception-east-aurora,Immaculate Conception Church,520 Oakwood Avenue,,East Aurora,NY,14052,true,true,,
st-mary-of-the-lake-hamburg,st-mary-of-the-lake-hamburg,St. Mary of the Lake Church,4737 Lake Shore Road,,Hamburg,NY,14075,true,true,,
st-mary-swormville,st-mary-swormville,St. Mary's Church (Swormville),6919 Transit Road,,Swormville,NY,14051,true,true,,
st-aloysius-springville,st-aloysius-springville,St. Aloysius Church,190 Franklin Street,,Springville,NY,14141,true,true,,
st-jude-the-apostle-north-tonawanda,st-jude-the-apostle-north-tonawanda,St. Jude the Apostle Church,800 Niagara Falls Boulevard,,North Tonawanda,NY,14120,true,true,,
tonawanda-catholic,our-lady-of-czestochowa-north-tonawanda,Our Lady of Czestochowa Church,64 Center Avenue,,North Tonawanda,NY,14120,true,true,,
st-john-baptist-lockport,st-john-baptist-lockport,St. John the Baptist Church,168 Chestnut Street,,Lockport,NY,14094,true,true,,
our-lady-of-peace-clarence,our-lady-of-peace-clarence,Our Lady of Peace Church,10950 Main Street,,Clarence,NY,14031,true,true,,
catholic-family-cheektowaga,st-josaphat-cheektowaga,St. Josaphat Church,20 Peoria Avenue,,Cheektowaga,NY,14206,true,true,,
catholic-family-cheektowaga,resurrection-cheektowaga,Resurrection Church,130 Como Park Boulevard,,Cheektowaga,NY,14227,true,false,,
catholic-family-cheektowaga,queen-of-martyrs-cheektowaga,Queen of Martyrs Church,180 George Urban Boulevard,,Cheektowaga,NY,14225,true,false,,
catholic-family-cheektowaga,our-lady-help-of-christians-cheektowaga,Our Lady Help of Christians Church,4125 Union Road,,Cheektowaga,NY,14225,true,true,,
resurrection-batavia,st-joseph-batavia,St. Joseph Church,303 East Main Street,,Batavia,NY,14020,true,true,,
christ-the-king-snyder,christ-the-king-snyder,Christ the King Church,30 Lamarck Drive,,Snyder,NY,14226,true,true,,
st-pius-x-getzville,st-pius-x-getzville,St. Pius X Church,1700 North French Road,,Getzville,NY,14068,true,true,,
good-shepherd-pendleton,good-shepherd-pendleton,Good Shepherd Church,5442 Tonawanda Creek Road,,Pendleton,NY,14120,true,true,,
enchanted-mountains-catholic,st-mary-of-the-angels-olean,Basilica of St. Mary of the Angels,202 South Union Street,,Olean,NY,14760,true,true,,
enchanted-mountains-catholic,st-john-evangelist-olean,St. John the Evangelist Church,931 North Union Street,,Olean,NY,14760,true,true,,
enchanted-mountains-catholic,st-bonaventure-allegany,St. Bonaventure Church,95 East Main Street,,Allegany,NY,14706,true,true,,
enchanted-mountains-catholic,sacred-heart-portville,Sacred Heart Church,43 Maple Street,,Portville,NY,14770,true,false,,
holy-trinity-dunkirk,holy-trinity-dunkirk,Holy Trinity Church,1032 Central Avenue,,Dunkirk,NY,14048,true,true,,
